x,y,t,p
0,0,7500,0
0,1,7500,0
0,2,7500,0
0,3,7500,0
0,4,7500,0
0,5,7500,0
0,6,7500,0
0,7,7500,0
0,8,7500,0
0,9,7500,0
0,10,7500,0
0,11,7500,0
0,12,7500,0
0,13,7500,0
0,14,7500,0
0,15,7500,0
0,16,7500,0
0,17,7500,0
0,18,7500,0
0,19,7500,0
0,20,7500,0
0,21,7500,0
0,22,7500,0
0,23,7500,0
0,24,7500,0
0,25,7500,0
0,26,7500,0
0,27,7500,0
0,28,7500,0
0,29,7500,0
0,30,7500,0
0,31,7500,0
0,32,7500,0
0,33,7500,0
0,34,7500,0
0,35,7500,0
0,36,7500,0
0,37,7500,0
0,38,7500,0
0,39,7500,0
0,40,7500,0
0,41,7500,0
0,42,7500,0
0,43,7500,0
0,44,7500,0
0,45,7500,0
0,46,7500,0
0,47,7500,0
0,48,7500,0
0,49,7500,0
0,50,7500,0
0,51,7500,0
0,52,7500,0
0,53,7500,0
0,54,7500,0
0,55,7500,0
0,56,7500,0
0,57,7500,0
0,58,7500,0
0,59,7500,0
0,60,7500,0
0,61,7500,0
0,62,7500,0
0,63,7500,0
0,64,7500,0
0,65,7500,0
0,66,7500,0
0,67,7500,0
0,68,7500,0
0,69,7500,0
0,70,7500,0
0,71,7500,0
0,72,7500,0
0,73,7500,0
0,74,7500,0
0,75,7500,0
0,76,7500,0
0,77,7500,0
0,78,7500,0
0,79,7500,0
0,80,7500,0
0,81,7500,0
0,82,7500,0
0,83,7500,0
0,84,7500,0
0,85,7500,0
0,86,7500,0
0,87,7500,0
0,88,7500,0
0,89,7500,0
0,90,7500,0
0,91,7500,0
0,92,7500,0
0,93,7500,0
0,94,7500,0
0,95,7500,0
0,96,7500,0
0,97,7500,0
0,98,7500,0
0,99,7500,0
0,100,7500,0
1,0,7500,-10.6662
1,1,7500,-10.6662
1,2,7500,-6.83951
1,3,7500,-5.07648
1,4,7500,-3.8465
1,5,7500,-3.03241
1,6,7500,-2.45836
1,7,7500,-2.04105
1,8,7500,-1.72746
1,9,7500,-1.48533
1,10,7500,-1.29394
1,11,7500,-1.13962
1,12,7500,-1.01309
1,13,7500,-0.907861
1,14,7500,-0.819278
1,15,7500,-0.743928
1,16,7500,-0.679256
1,17,7500,-0.623307
1,18,7500,-0.574568
1,19,7500,-0.531844
1,20,7500,-0.494181
1,21,7500,-0.460806
1,22,7500,-0.43109
1,23,7500,-0.404512
1,24,7500,-0.380636
1,25,7500,-0.359098
1,26,7500,-0.339588
1,27,7500,-0.321842
1,28,7500,-0.305632
1,29,7500,-0.290763
1,30,7500,-0.277062
1,31,7500,-0.26438
1,32,7500,-0.252586
1,33,7500,-0.241562
1,34,7500,-0.231206
1,35,7500,-0.221423
1,36,7500,-0.212132
1,37,7500,-0.203255
1,38,7500,-0.194726
1,39,7500,-0.186481
1,40,7500,-0.178463
1,41,7500,-0.170619
1,42,7500,-0.162899
1,43,7500,-0.155259
1,44,7500,-0.147654
1,45,7500,-0.140043
1,46,7500,-0.132389
1,47,7500,-0.124652
1,48,7500,-0.116796
1,49,7500,-0.108787
1,50,7500,-0.100589
1,51,7500,-0.0921668
1,52,7500,-0.0834865
1,53,7500,-0.0745129
1,54,7500,-0.0652102
1,55,7500,-0.0555419
1,56,7500,-0.0454701
1,57,7500,-0.0349554
1,58,7500,-0.0239563
1,59,7500,-0.0124291
1,60,7500,-0.000327094
1,61,7500,0.0123997
1,62,7500,0.0258051
1,63,7500,0.0399477
1,64,7500,0.0548913
1,65,7500,0.070706
1,66,7500,0.0874691
1,67,7500,0.105266
1,68,7500,0.124193
1,69,7500,0.144356
1,70,7500,0.165877
1,71,7500,0.188892
1,72,7500,0.213556
1,73,7500,0.240047
1,74,7500,0.268571
1,75,7500,0.299364
1,76,7500,0.332703
1,77,7500,0.368912
1,78,7500,0.408374
1,79,7500,0.451544
1,80,7500,0.49897
1,81,7500,0.551313
1,82,7500,0.609383
1,83,7500,0.674178
1,84,7500,0.746949
1,85,7500,0.829277
1,86,7500,0.923197
1,87,7500,1.03136
1,88,7500,1.15731
1,89,7500,1.30583
1,90,7500,1.4836
1,91,7500,1.70009
1,92,7500,1.96922
1,93,7500,2.31193
1,94,7500,2.76062
1,95,7500,3.36827
1,96,7500,4.21638
1,97,7500,5.48014
1,98,7500,7.255
1,99,7500,11.088
1,100,7500,11.088
2,0,7500,-6.98269
2,1,7500,-6.98269
2,2,7500,-5.01489
2,3,7500,-4.00012
2,4,7500,-3.17504
2,5,7500,-2.58097
2,6,7500,-2.13228
2,7,7500,-1.7905
2,8,7500,-1.52506
2,9,7500,-1.3155
2,10,7500,-1.14737
2,11,7500,-1.01051
2,12,7500,-0.897604
2,13,7500,-0.803356
2,14,7500,-0.723844
2,15,7500,-0.656129
2,16,7500,-0.597973
2,17,7500,-0.547649
2,18,7500,-0.503806
2,19,7500,-0.465373
2,20,7500,-0.431494
2,21,7500,-0.401471
2,22,7500,-0.374737
2,23,7500,-0.350822
2,24,7500,-0.329334
2,25,7500,-0.309944
2,26,7500,-0.292375
2,27,7500,-0.276389
2,28,7500,-0.261782
2,29,7500,-0.24838
2,30,7500,-0.236029
2,31,7500,-0.224596
2,32,7500,-0.213964
2,33,7500,-0.204029
2,34,7500,-0.194701
2,35,7500,-0.185897
2,36,7500,-0.177543
2,37,7500,-0.169573
2,38,7500,-0.161928
2,39,7500,-0.154552
2,40,7500,-0.147396
2,41,7500,-0.140413
2,42,7500,-0.133559
2,43,7500,-0.126797
2,44,7500,-0.120086
2,45,7500,-0.113393
2,46,7500,-0.106683
2,47,7500,-0.0999229
2,48,7500,-0.0930822
2,49,7500,-0.0861297
2,50,7500,-0.0790351
2,51,7500,-0.0717685
2,52,7500,-0.0642997
2,53,7500,-0.0565983
2,54,7500,-0.0486334
2,55,7500,-0.0403733
2,56,7500,-0.031785
2,57,7500,-0.0228343
2,58,7500,-0.013485
2,59,7500,-0.00369901
2,60,7500,0.00656448
2,61,7500,0.0173492
2,62,7500,0.0287024
2,63,7500,0.0406755
2,64,7500,0.0533246
2,65,7500,0.0667115
2,66,7500,0.0809044
2,67,7500,0.095979
2,68,7500,0.11202
2,69,7500,0.129123
2,70,7500,0.147395
2,71,7500,0.166957
2,72,7500,0.187948
2,73,7500,0.210528
2,74,7500,0.23488
2,75,7500,0.261217
2,76,7500,0.289787
2,77,7500,0.320881
2,78,7500,0.354845
2,79,7500,0.392088
2,80,7500,0.433103
2,81,7500,0.478486
2,82,7500,0.528964
2,83,7500,0.585436
2,84,7500,0.649018
2,85,7500,0.721117
2,86,7500,0.80353
2,87,7500,0.898573
2,88,7500,1.00928
2,89,7500,1.1397
2,90,7500,1.29525
2,91,7500,1.48341
2,92,7500,1.71451
2,93,7500,2.00319
2,94,7500,2.37002
2,95,7500,2.84578
2,96,7500,3.46812
2,97,7500,4.32457
2,98,7500,5.36391
2,99,7500,7.37517
2,100,7500,7.37517
3,0,7500,-5.84731
3,1,7500,-5.84731
3,2,7500,-4.7195
3,3,7500,-3.96157
3,4,7500,-3.27774
3,5,7500,-2.74005
3,6,7500,-2.30966
3,7,7500,-1.96734
3,8,7500,-1.69287
3,9,7500,-1.47093
3,10,7500,-1.28965
3,11,7500,-1.14003
3,12,7500,-1.01532
3,13,7500,-0.910383
3,14,7500,-0.821299
3,15,7500,-0.745061
3,16,7500,-0.679333
3,17,7500,-0.622279
3,18,7500,-0.572444
3,19,7500,-0.528666
3,20,7500,-0.490003
3,21,7500,-0.455687
3,22,7500,-0.425086
3,23,7500,-0.397676
3,24,7500,-0.37302
3,25,7500,-0.350748
3,26,7500,-0.330546
3,27,7500,-0.312148
3,28,7500,-0.295324
3,29,7500,-0.279875
3,30,7500,-0.265628
3,31,7500,-0.252434
3,32,7500,-0.240159
3,33,7500,-0.228686
3,34,7500,-0.217911
3,35,7500,-0.207742
3,36,7500,-0.198096
3,37,7500,-0.188896
3,38,7500,-0.180076
3,39,7500,-0.171572
3,40,7500,-0.16333
3,41,7500,-0.155295
3,42,7500,-0.14742
3,43,7500,-0.13966
3,44,7500,-0.131971
3,45,7500,-0.124313
3,46,7500,-0.116649
3,47,7500,-0.108941
3,48,7500,-0.101154
3,49,7500,-0.0932529
3,50,7500,-0.0852033
3,51,7500,-0.0769715
3,52,7500,-0.0685233
3,53,7500,-0.0598245
3,54,7500,-0.0508399
3,55,7500,-0.0415338
3,56,7500,-0.0318688
3,57,7500,-0.0218062
3,58,7500,-0.011305
3,59,7500,-0.000322012
3,60,7500,0.011189
3,61,7500,0.0232775
3,62,7500,0.0359972
3,63,7500,0.0494063
3,64,7500,0.0635684
3,65,7500,0.0785537
3,66,7500,0.0944394
3,67,7500,0.111312
3,68,7500,0.129266
3,69,7500,0.148412
3,70,7500,0.168869
3,71,7500,0.190775
3,72,7500,0.214289
3,73,7500,0.23959
3,74,7500,0.266885
3,75,7500,0.296415
3,76,7500,0.328459
3,77,7500,0.363344
3,78,7500,0.401458
3,79,7500,0.44326
3,80,7500,0.489296
3,81,7500,0.54023
3,82,7500,0.596862
3,83,7500,0.660174
3,84,7500,0.73138
3,85,7500,0.81199
3,86,7500,0.903908
3,87,7500,1.00955
3,88,7500,1.13202
3,89,7500,1.27534
3,90,7500,1.44476
3,91,7500,1.64719
3,92,7500,1.89173
3,93,7500,2.19039
3,94,7500,2.55851
3,95,7500,3.01636
3,96,7500,3.58238
3,97,7500,4.29651
3,98,7500,5.07997
3,99,7500,6.24787
3,100,7500,6.24787
4,0,7500,-4.60119
4,1,7500,-4.60119
4,2,7500,-4.01343
4,3,7500,-3.52142
4,4,7500,-3.03323
4,5,7500,-2.61409
4,6,7500,-2.25664
4,7,7500,-1.9576
4,8,7500,-1.70819
4,9,7500,-1.50014
4,10,7500,-1.32599
4,11,7500,-1.17946
4,12,7500,-1.05543
4,13,7500,-0.949773
4,14,7500,-0.859202
4,15,7500,-0.781074
4,16,7500,-0.713277
4,17,7500,-0.654111
4,18,7500,-0.602199
4,19,7500,-0.556421
4,20,7500,-0.515858
4,21,7500,-0.479753
4,22,7500,-0.447476
4,23,7500,-0.4185
4,24,7500,-0.39238
4,25,7500,-0.368743
4,26,7500,-0.347267
4,27,7500,-0.327678
4,28,7500,-0.30974
4,29,7500,-0.293247
4,30,7500,-0.278021
4,31,7500,-0.263905
4,32,7500,-0.250762
4,33,7500,-0.23847
4,34,7500,-0.22692
4,35,7500,-0.216016
4,36,7500,-0.205671
4,37,7500,-0.195806
4,38,7500,-0.18635
4,39,7500,-0.177239
4,40,7500,-0.168413
4,41,7500,-0.159818
4,42,7500,-0.151402
4,43,7500,-0.143119
4,44,7500,-0.134923
4,45,7500,-0.126773
4,46,7500,-0.118628
4,47,7500,-0.11045
4,48,7500,-0.102201
4,49,7500,-0.0938451
4,50,7500,-0.0853465
4,51,7500,-0.0766693
4,52,7500,-0.0677781
4,53,7500,-0.0586366
4,54,7500,-0.0492083
4,55,7500,-0.0394554
4,56,7500,-0.0293389
4,57,7500,-0.0188182
4,58,7500,-0.00785038
4,59,7500,0.00360994
4,60,7500,0.0156111
4,61,7500,0.0282051
4,62,7500,0.041448
4,63,7500,0.0554009
4,64,7500,0.0701302
4,65,7500,0.0857094
4,66,7500,0.102219
4,67,7500,0.11975
4,68,7500,0.138401
4,69,7500,0.158285
4,70,7500,0.179528
4,71,7500,0.202275
4,72,7500,0.226687
4,73,7500,0.252951
4,74,7500,0.28128
4,75,7500,0.311923
4,76,7500,0.345165
4,77,7500,0.381341
4,78,7500,0.420843
4,79,7500,0.464134
4,80,7500,0.511765
4,81,7500,0.564393
4,82,7500,0.622807
4,83,7500,0.687964
4,84,7500,0.761027
4,85,7500,0.843423
4,86,7500,0.936911
4,87,7500,1.04367
4,88,7500,1.16642
4,89,7500,1.30854
4,90,7500,1.47424
4,91,7500,1.66874
4,92,7500,1.89839
4,93,7500,2.17075
4,94,7500,2.49404
4,95,7500,2.87704
4,96,7500,3.32243
4,97,7500,3.83818
4,98,7500,4.35462
4,99,7500,4.97735
4,100,7500,4.97735
5,0,7500,-3.74488
5,1,7500,-3.74488
5,2,7500,-3.45803
5,3,7500,-3.1414
5,4,7500,-2.79678
5,5,7500,-2.47459
5,6,7500,-2.1831
5,7,7500,-1.92731
5,8,7500,-1.70573
5,9,7500,-1.51514
5,10,7500,-1.35155
5,11,7500,-1.21107
5,12,7500,-1.09015
5,13,7500,-0.985719
5,14,7500,-0.895161
5,15,7500,-0.816298
5,16,7500,-0.747313
5,17,7500,-0.686701
5,18,7500,-0.633214
5,19,7500,-0.585812
5,20,7500,-0.54363
5,21,7500,-0.505942
5,22,7500,-0.472136
5,23,7500,-0.441697
5,24,7500,-0.414186
5,25,7500,-0.389229
5,26,7500,-0.366505
5,27,7500,-0.345736
5,28,7500,-0.326682
5,29,7500,-0.309135
5,30,7500,-0.292912
5,31,7500,-0.277852
5,32,7500,-0.263813
5,33,7500,-0.25067
5,34,7500,-0.23831
5,35,7500,-0.226634
5,36,7500,-0.215551
5,37,7500,-0.204979
5,38,7500,-0.194846
5,39,7500,-0.185082
5,40,7500,-0.175626
5,41,7500,-0.166421
5,42,7500,-0.157414
5,43,7500,-0.148555
5,44,7500,-0.139797
5,45,7500,-0.131097
5,46,7500,-0.122412
5,47,7500,-0.113702
5,48,7500,-0.104927
5,49,7500,-0.0960497
5,50,7500,-0.0870319
5,51,7500,-0.0778364
5,52,7500,-0.0684257
5,53,7500,-0.0587619
5,54,7500,-0.0488067
5,55,7500,-0.0385204
5,56,7500,-0.0278621
5,57,7500,-0.0167891
5,58,7500,-0.00525656
5,59,7500,0.00678313
5,60,7500,0.0193806
5,61,7500,0.0325901
5,62,7500,0.0464704
5,63,7500,0.061085
5,64,7500,0.0765036
5,65,7500,0.0928022
5,66,7500,0.110065
5,67,7500,0.128385
5,68,7500,0.147866
5,69,7500,0.168625
5,70,7500,0.190791
5,71,7500,0.214512
5,72,7500,0.239954
5,73,7500,0.267309
5,74,7500,0.296792
5,75,7500,0.328655
5,76,7500,0.363186
5,77,7500,0.400719
5,78,7500,0.441645
5,79,7500,0.486419
5,80,7500,0.535579
5,81,7500,0.58976
5,82,7500,0.649715
5,83,7500,0.716343
5,84,7500,0.790717
5,85,7500,0.874129
5,86,7500,0.968129
5,87,7500,1.07458
5,88,7500,1.19573
5,89,7500,1.33422
5,90,7500,1.4932
5,91,7500,1.67625
5,92,7500,1.88728
5,93,7500,2.13024
5,94,7500,2.40826
5,95,7500,2.72264
5,96,7500,3.06784
5,97,7500,3.43581
5,98,7500,3.77316
5,99,7500,4.08782
5,100,7500,4.08782
6,0,7500,-3.09875
6,1,7500,-3.09875
6,2,7500,-2.97415
6,3,7500,-2.77642
6,4,7500,-2.54009
6,5,7500,-2.29991
6,6,7500,-2.06979
6,7,7500,-1.85819
6,8,7500,-1.66784
6,9,7500,-1.49894
6,10,7500,-1.35018
6,11,7500,-1.21966
6,12,7500,-1.10527
6,13,7500,-1.00497
6,14,7500,-0.91688
6,15,7500,-0.83933
6,16,7500,-0.770865
6,17,7500,-0.710232
6,18,7500,-0.65636
6,19,7500,-0.608334
6,20,7500,-0.565373
6,21,7500,-0.526812
6,22,7500,-0.492084
6,23,7500,-0.460701
6,24,7500,-0.432244
6,25,7500,-0.406352
6,26,7500,-0.382713
6,27,7500,-0.361056
6,28,7500,-0.341144
6,29,7500,-0.322769
6,30,7500,-0.305749
6,31,7500,-0.289923
6,32,7500,-0.275148
6,33,7500,-0.261298
6,34,7500,-0.24826
6,35,7500,-0.23593
6,36,7500,-0.224218
6,37,7500,-0.21304
6,38,7500,-0.20232
6,39,7500,-0.19199
6,40,7500,-0.181985
6,41,7500,-0.172247
6,42,7500,-0.16272
6,43,7500,-0.153355
6,44,7500,-0.144103
6,45,7500,-0.134917
6,46,7500,-0.125756
6,47,7500,-0.116575
6,48,7500,-0.107336
6,49,7500,-0.097999
6,50,7500,-0.088524
6,51,7500,-0.0788728
6,52,7500,-0.0690065
6,53,7500,-0.058886
6,54,7500,-0.0484714
6,55,7500,-0.0377217
6,56,7500,-0.0265946
6,57,7500,-0.015046
6,58,7500,-0.00302942
6,59,7500,0.00950414
6,60,7500,0.0226069
6,61,7500,0.0363347
6,62,7500,0.050748
6,63,7500,0.0659119
6,64,7500,0.0818977
6,65,7500,0.0987833
6,66,7500,0.116654
6,67,7500,0.135606
6,68,7500,0.155743
6,69,7500,0.177183
6,70,7500,0.200057
6,71,7500,0.224514
6,72,7500,0.250719
6,73,7500,0.278863
6,74,7500,0.309159
6,75,7500,0.341855
6,76,7500,0.377232
6,77,7500,0.415613
6,78,7500,0.457374
6,79,7500,0.502949
6,80,7500,0.552842
6,81,7500,0.607642
6,82,7500,0.668035
6,83,7500,0.734827
6,84,7500,0.80896
6,85,7500,0.891535
6,86,7500,0.983835
6,87,7500,1.08735
6,88,7500,1.20377
6,89,7500,1.33501
6,90,7500,1.48312
6,91,7500,1.65019
6,92,7500,1.83809
6,93,7500,2.04803
6,94,7500,2.27964
6,95,7500,2.52993
6,96,7500,2.78994
6,97,7500,3.0458
6,98,7500,3.26068
6,99,7500,3.40667
6,100,7500,3.40667
7,0,7500,-2.61796
7,1,7500,-2.61796
7,2,7500,-2.57882
7,3,7500,-2.45828
7,4,7500,-2.29851
7,5,7500,-2.122
7,6,7500,-1.94323
7,7,7500,-1.7713
7,8,7500,-1.61093
7,9,7500,-1.46427
7,10,7500,-1.33178
7,11,7500,-1.213
7,12,7500,-1.10699
7,13,7500,-1.01256
7,14,7500,-0.928515
7,15,7500,-0.853665
7,16,7500,-0.786923
7,17,7500,-0.727302
7,18,7500,-0.673928
7,19,7500,-0.626029
7,20,7500,-0.582931
7,21,7500,-0.544047
7,22,7500,-0.508865
7,23,7500,-0.47694
7,24,7500,-0.447883
7,25,7500,-0.421356
7,26,7500,-0.397063
7,27,7500,-0.374744
7,28,7500,-0.35417
7,29,7500,-0.33514
7,30,7500,-0.317476
7,31,7500,-0.30102
7,32,7500,-0.28563
7,33,7500,-0.27118
7,34,7500,-0.257558
7,35,7500,-0.244662
7,36,7500,-0.232398
7,37,7500,-0.220684
7,38,7500,-0.209443
7,39,7500,-0.198605
