x,y,t,u
0,0,12500,1
0,1,12500,1
0,2,12500,1
0,3,12500,1
0,4,12500,1
0,5,12500,1
0,6,12500,1
0,7,12500,1
0,8,12500,1
0,9,12500,1
0,10,12500,1
0,11,12500,1
0,12,12500,1
0,13,12500,1
0,14,12500,1
0,15,12500,1
0,16,12500,1
0,17,12500,1
0,18,12500,1
0,19,12500,1
0,20,12500,1
0,21,12500,1
0,22,12500,1
0,23,12500,1
0,24,12500,1
0,25,12500,1
0,26,12500,1
0,27,12500,1
0,28,12500,1
0,29,12500,1
0,30,12500,1
0,31,12500,1
0,32,12500,1
0,33,12500,1
0,34,12500,1
0,35,12500,1
0,36,12500,1
0,37,12500,1
0,38,12500,1
0,39,12500,1
0,40,12500,1
0,41,12500,1
0,42,12500,1
0,43,12500,1
0,44,12500,1
0,45,12500,1
0,46,12500,1
0,47,12500,1
0,48,12500,1
0,49,12500,1
0,50,12500,1
0,51,12500,1
0,52,12500,1
0,53,12500,1
0,54,12500,1
0,55,12500,1
0,56,12500,1
0,57,12500,1
0,58,12500,1
0,59,12500,1
0,60,12500,1
0,61,12500,1
0,62,12500,1
0,63,12500,1
0,64,12500,1
0,65,12500,1
0,66,12500,1
0,67,12500,1
0,68,12500,1
0,69,12500,1
0,70,12500,1
0,71,12500,1
0,72,12500,1
0,73,12500,1
0,74,12500,1
0,75,12500,1
0,76,12500,1
0,77,12500,1
0,78,12500,1
0,79,12500,1
0,80,12500,1
0,81,12500,1
0,82,12500,1
0,83,12500,1
0,84,12500,1
0,85,12500,1
0,86,12500,1
0,87,12500,1
0,88,12500,1
0,89,12500,1
0,90,12500,1
0,91,12500,1
0,92,12500,1
0,93,12500,1
0,94,12500,1
0,95,12500,1
0,96,12500,1
0,97,12500,1
0,98,12500,1
0,99,12500,1
0,100,12500,1
1,0,12500,0
1,1,12500,0.342934
1,2,12500,0.452343
1,3,12500,0.552843
1,4,12500,0.623221
1,5,12500,0.676346
1,6,12500,0.71694
1,7,12500,0.748776
1,8,12500,0.774274
1,9,12500,0.795094
1,10,12500,0.812384
1,11,12500,0.826953
1,12,12500,0.839386
1,13,12500,0.850115
1,14,12500,0.85946
1,15,12500,0.867669
1,16,12500,0.874932
1,17,12500,0.881399
1,18,12500,0.887189
1,19,12500,0.892397
1,20,12500,0.897104
1,21,12500,0.901372
1,22,12500,0.905255
1,23,12500,0.908799
1,24,12500,0.91204
1,25,12500,0.915011
1,26,12500,0.917739
1,27,12500,0.920247
1,28,12500,0.922556
1,29,12500,0.924684
1,30,12500,0.926645
1,31,12500,0.928453
1,32,12500,0.93012
1,33,12500,0.931656
1,34,12500,0.93307
1,35,12500,0.934371
1,36,12500,0.935564
1,37,12500,0.936657
1,38,12500,0.937656
1,39,12500,0.938564
1,40,12500,0.939387
1,41,12500,0.940129
1,42,12500,0.940792
1,43,12500,0.941379
1,44,12500,0.941894
1,45,12500,0.942338
1,46,12500,0.942714
1,47,12500,0.943022
1,48,12500,0.943264
1,49,12500,0.943441
1,50,12500,0.943553
1,51,12500,0.9436
1,52,12500,0.943584
1,53,12500,0.943503
1,54,12500,0.943357
1,55,12500,0.943145
1,56,12500,0.942865
1,57,12500,0.942517
1,58,12500,0.942099
1,59,12500,0.941607
1,60,12500,0.94104
1,61,12500,0.940395
1,62,12500,0.939667
1,63,12500,0.938853
1,64,12500,0.937948
1,65,12500,0.936947
1,66,12500,0.935843
1,67,12500,0.934629
1,68,12500,0.933298
1,69,12500,0.93184
1,70,12500,0.930245
1,71,12500,0.928501
1,72,12500,0.926594
1,73,12500,0.92451
1,74,12500,0.92223
1,75,12500,0.919733
1,76,12500,0.916995
1,77,12500,0.913988
1,78,12500,0.91068
1,79,12500,0.90703
1,80,12500,0.902995
1,81,12500,0.898517
1,82,12500,0.893531
1,83,12500,0.887956
1,84,12500,0.881694
1,85,12500,0.874621
1,86,12500,0.866583
1,87,12500,0.857386
1,88,12500,0.846777
1,89,12500,0.834426
1,90,12500,0.819893
1,91,12500,0.802582
1,92,12500,0.781668
1,93,12500,0.755984
1,94,12500,0.723845
1,95,12500,0.682806
1,96,12500,0.629037
1,97,12500,0.557886
1,98,12500,0.45595
1,99,12500,0.345829
1,100,12500,0
2,0,12500,0
2,1,12500,0.11692
2,2,12500,0.193537
2,3,12500,0.28784
2,4,12500,0.368027
2,5,12500,0.436571
2,6,12500,0.493869
2,7,12500,0.541855
2,8,12500,0.582224
2,9,12500,0.616438
2,10,12500,0.645677
2,11,12500,0.670874
2,12,12500,0.692762
2,13,12500,0.711921
2,14,12500,0.728806
2,15,12500,0.743781
2,16,12500,0.757138
2,17,12500,0.769113
2,18,12500,0.779898
2,19,12500,0.789651
2,20,12500,0.798502
2,21,12500,0.806561
2,22,12500,0.813919
2,23,12500,0.820655
2,24,12500,0.826834
2,25,12500,0.832512
2,26,12500,0.837738
2,27,12500,0.842555
2,28,12500,0.846998
2,29,12500,0.851099
2,30,12500,0.854886
2,31,12500,0.858384
2,32,12500,0.861614
2,33,12500,0.864595
2,34,12500,0.867344
2,35,12500,0.869875
2,36,12500,0.872202
2,37,12500,0.874337
2,38,12500,0.87629
2,39,12500,0.87807
2,40,12500,0.879686
2,41,12500,0.881144
2,42,12500,0.88245
2,43,12500,0.883612
2,44,12500,0.884632
2,45,12500,0.885516
2,46,12500,0.886266
2,47,12500,0.886886
2,48,12500,0.887378
2,49,12500,0.887743
2,50,12500,0.887983
2,51,12500,0.888098
2,52,12500,0.888089
2,53,12500,0.887954
2,54,12500,0.887693
2,55,12500,0.887304
2,56,12500,0.886785
2,57,12500,0.886133
2,58,12500,0.885344
2,59,12500,0.884414
2,60,12500,0.883339
2,61,12500,0.882112
2,62,12500,0.880727
2,63,12500,0.879176
2,64,12500,0.877449
2,65,12500,0.875538
2,66,12500,0.87343
2,67,12500,0.871113
2,68,12500,0.868571
2,69,12500,0.865788
2,70,12500,0.862745
2,71,12500,0.85942
2,72,12500,0.855788
2,73,12500,0.851821
2,74,12500,0.847486
2,75,12500,0.842746
2,76,12500,0.837557
2,77,12500,0.83187
2,78,12500,0.825625
2,79,12500,0.818755
2,80,12500,0.81118
2,81,12500,0.802804
2,82,12500,0.793514
2,83,12500,0.783174
2,84,12500,0.771621
2,85,12500,0.758655
2,86,12500,0.744033
2,87,12500,0.727453
2,88,12500,0.708537
2,89,12500,0.686815
2,90,12500,0.661687
2,91,12500,0.632395
2,92,12500,0.597972
2,93,12500,0.557199
2,94,12500,0.508553
2,95,12500,0.45027
2,96,12500,0.380291
2,97,12500,0.298168
2,98,12500,0.200935
2,99,12500,0.12142
2,100,12500,0
3,0,12500,0
3,1,12500,0.0329657
3,2,12500,0.0696618
3,3,12500,0.133205
3,4,12500,0.199442
3,5,12500,0.263862
3,6,12500,0.32291
3,7,12500,0.375799
3,8,12500,0.422608
3,9,12500,0.463865
3,10,12500,0.500219
3,11,12500,0.532322
3,12,12500,0.560763
3,13,12500,0.58606
3,14,12500,0.608652
3,15,12500,0.628912
3,16,12500,0.647152
3,17,12500,0.663634
3,18,12500,0.678579
3,19,12500,0.692174
3,20,12500,0.704577
3,21,12500,0.71592
3,22,12500,0.726319
3,23,12500,0.735872
3,24,12500,0.744663
3,25,12500,0.752765
3,26,12500,0.760243
3,27,12500,0.76715
3,28,12500,0.773536
3,29,12500,0.779442
3,30,12500,0.784907
3,31,12500,0.789964
3,32,12500,0.794641
3,33,12500,0.798964
3,34,12500,0.802956
3,35,12500,0.806639
3,36,12500,0.810029
3,37,12500,0.813143
3,38,12500,0.815996
3,39,12500,0.8186
3,40,12500,0.820967
3,41,12500,0.823107
3,42,12500,0.825028
3,43,12500,0.826738
3,44,12500,0.828244
3,45,12500,0.829552
3,46,12500,0.830667
3,47,12500,0.831592
3,48,12500,0.832331
3,49,12500,0.832886
3,50,12500,0.833258
3,51,12500,0.833449
3,52,12500,0.833458
3,53,12500,0.833285
3,54,12500,0.832928
3,55,12500,0.832385
3,56,12500,0.831653
3,57,12500,0.830727
3,58,12500,0.829603
3,59,12500,0.828275
3,60,12500,0.826736
3,61,12500,0.824977
3,62,12500,0.822988
3,63,12500,0.82076
3,64,12500,0.81828
3,65,12500,0.815533
3,66,12500,0.812503
3,67,12500,0.809173
3,68,12500,0.805522
3,69,12500,0.801526
3,70,12500,0.79716
3,71,12500,0.792394
3,72,12500,0.787192
3,73,12500,0.781518
3,74,12500,0.775327
3,75,12500,0.768568
3,76,12500,0.761184
3,77,12500,0.753108
3,78,12500,0.744264
3,79,12500,0.734563
3,80,12500,0.723901
3,81,12500,0.712158
3,82,12500,0.699192
3,83,12500,0.684837
3,84,12500,0.668896
3,85,12500,0.651134
3,86,12500,0.631273
3,87,12500,0.608982
3,88,12500,0.583864
3,89,12500,0.555449
3,90,12500,0.523186
3,91,12500,0.486437
3,92,12500,0.444496
3,93,12500,0.396643
