x,y,t,v
0,0,2500,0
0,1,2500,0
0,2,2500,0
0,3,2500,0
0,4,2500,0
0,5,2500,0
0,6,2500,0
0,7,2500,0
0,8,2500,0
0,9,2500,0
0,10,2500,0
0,11,2500,0
0,12,2500,0
0,13,2500,0
0,14,2500,0
0,15,2500,0
0,16,2500,0
0,17,2500,0
0,18,2500,0
0,19,2500,0
0,20,2500,0
0,21,2500,0
0,22,2500,0
0,23,2500,0
0,24,2500,0
0,25,2500,0
0,26,2500,0
0,27,2500,0
0,28,2500,0
0,29,2500,0
0,30,2500,0
0,31,2500,0
0,32,2500,0
0,33,2500,0
0,34,2500,0
0,35,2500,0
0,36,2500,0
0,37,2500,0
0,38,2500,0
0,39,2500,0
0,40,2500,0
0,41,2500,0
0,42,2500,0
0,43,2500,0
0,44,2500,0
0,45,2500,0
0,46,2500,0
0,47,2500,0
0,48,2500,0
0,49,2500,0
0,50,2500,0
0,51,2500,0
0,52,2500,0
0,53,2500,0
0,54,2500,0
0,55,2500,0
0,56,2500,0
0,57,2500,0
0,58,2500,0
0,59,2500,0
0,60,2500,0
0,61,2500,0
0,62,2500,0
0,63,2500,0
0,64,2500,0
0,65,2500,0
0,66,2500,0
0,67,2500,0
0,68,2500,0
0,69,2500,0
0,70,2500,0
0,71,2500,0
0,72,2500,0
0,73,2500,0
0,74,2500,0
0,75,2500,0
0,76,2500,0
0,77,2500,0
0,78,2500,0
0,79,2500,0
0,80,2500,0
0,81,2500,0
0,82,2500,0
0,83,2500,0
0,84,2500,0
0,85,2500,0
0,86,2500,0
0,87,2500,0
0,88,2500,0
0,89,2500,0
0,90,2500,0
0,91,2500,0
0,92,2500,0
0,93,2500,0
0,94,2500,0
0,95,2500,0
0,96,2500,0
0,97,2500,0
0,98,2500,0
0,99,2500,0
0,100,2500,0
1,0,2500,0
1,1,2500,0.0851746
1,2,2500,0.0826532
1,3,2500,0.0716389
1,4,2500,0.0606964
1,5,2500,0.0519687
1,6,2500,0.045046
1,7,2500,0.039507
1,8,2500,0.0350025
1,9,2500,0.0312881
1,10,2500,0.0281887
1,11,2500,0.0255766
1,12,2500,0.0233559
1,13,2500,0.0214534
1,14,2500,0.0198117
1,15,2500,0.0183859
1,16,2500,0.0171398
1,17,2500,0.0160443
1,18,2500,0.0150755
1,19,2500,0.0142139
1,20,2500,0.0134434
1,21,2500,0.0127502
1,22,2500,0.0121231
1,23,2500,0.0115524
1,24,2500,0.01103
1,25,2500,0.0105489
1,26,2500,0.0101031
1,27,2500,0.00968745
1,28,2500,0.00929755
1,29,2500,0.00892955
1,30,2500,0.00858013
1,31,2500,0.00824637
1,32,2500,0.00792575
1,33,2500,0.00761607
1,34,2500,0.0073154
1,35,2500,0.00702202
1,36,2500,0.00673446
1,37,2500,0.0064514
1,38,2500,0.00617167
1,39,2500,0.00589424
1,40,2500,0.00561818
1,41,2500,0.00534266
1,42,2500,0.00506695
1,43,2500,0.00479036
1,44,2500,0.00451226
1,45,2500,0.00423207
1,46,2500,0.00394925
1,47,2500,0.00366327
1,48,2500,0.00337364
1,49,2500,0.00307984
1,50,2500,0.0027814
1,51,2500,0.0024778
1,52,2500,0.00216852
1,53,2500,0.00185303
1,54,2500,0.00153076
1,55,2500,0.00120111
1,56,2500,0.000863414
1,57,2500,0.000516985
1,58,2500,0.000161055
1,59,2500,-0.000205211
1,60,2500,-0.000582727
1,61,2500,-0.000972501
1,62,2500,-0.00137564
1,63,2500,-0.00179339
1,64,2500,-0.0022271
1,65,2500,-0.00267828
1,66,2500,-0.00314864
1,67,2500,-0.00364005
1,68,2500,-0.00415461
1,69,2500,-0.00469468
1,70,2500,-0.00526293
1,71,2500,-0.00586232
1,72,2500,-0.00649623
1,73,2500,-0.00716848
1,74,2500,-0.00788342
1,75,2500,-0.00864599
1,76,2500,-0.00946189
1,77,2500,-0.0103376
1,78,2500,-0.0112808
1,79,2500,-0.0123002
1,80,2500,-0.0134061
1,81,2500,-0.0146106
1,82,2500,-0.0159281
1,83,2500,-0.0173756
1,84,2500,-0.0189738
1,85,2500,-0.0207475
1,86,2500,-0.0227272
1,87,2500,-0.0249505
1,88,2500,-0.0274642
1,89,2500,-0.0303273
1,90,2500,-0.0336153
1,91,2500,-0.037426
1,92,2500,-0.0418891
1,93,2500,-0.0471807
1,94,2500,-0.0535444
1,95,2500,-0.0613252
1,96,2500,-0.070919
1,97,2500,-0.0826706
1,98,2500,-0.0940024
1,99,2500,-0.09509
1,100,2500,0
2,0,2500,0
2,1,2500,-0.0882624
2,2,2500,-0.0771984
2,3,2500,-0.0577417
2,4,2500,-0.0407687
2,5,2500,-0.0281602
2,6,2500,-0.0191714
2,7,2500,-0.0128294
2,8,2500,-0.0083458
2,9,2500,-0.00515041
2,10,2500,-0.00284828
2,11,2500,-0.00116934
2,12,2500,7.06631e-05
2,13,2500,0.000997967
2,14,2500,0.00169975
2,15,2500,0.00223676
2,16,2500,0.00265178
2,17,2500,0.00297522
2,18,2500,0.00322891
2,19,2500,0.0034287
2,20,2500,0.00358614
2,21,2500,0.00370976
2,22,2500,0.00380588
2,23,2500,0.00387924
2,24,2500,0.00393339
2,25,2500,0.00397103
2,26,2500,0.00399422
2,27,2500,0.00400454
2,28,2500,0.00400325
2,29,2500,0.00399131
2,30,2500,0.00396949
2,31,2500,0.00393844
2,32,2500,0.00389867
2,33,2500,0.00385063
2,34,2500,0.0037947
2,35,2500,0.00373121
2,36,2500,0.00366047
2,37,2500,0.00358276
2,38,2500,0.00349833
2,39,2500,0.00340743
2,40,2500,0.0033103
2,41,2500,0.00320715
2,42,2500,0.00309821
2,43,2500,0.00298368
2,44,2500,0.00286377
2,45,2500,0.00273866
2,46,2500,0.00260856
2,47,2500,0.00247362
2,48,2500,0.00233404
2,49,2500,0.00218995
2,50,2500,0.00204153
2,51,2500,0.0018889
2,52,2500,0.00173219
2,53,2500,0.00157152
2,54,2500,0.001407
2,55,2500,0.00123871
2,56,2500,0.00106673
2,57,2500,0.000891127
2,58,2500,0.000711949
2,59,2500,0.000529234
2,60,2500,0.000343008
2,61,2500,0.000153286
2,62,2500,-3.99278e-05
2,63,2500,-0.000236634
2,64,2500,-0.000436836
2,65,2500,-0.000640536
2,66,2500,-0.000847729
2,67,2500,-0.00105839
2,68,2500,-0.00127248
2,69,2500,-0.0014899
2,70,2500,-0.0017105
2,71,2500,-0.00193407
2,72,2500,-0.00216024
2,73,2500,-0.00238852
2,74,2500,-0.00261821
2,75,2500,-0.00284833
2,76,2500,-0.00307753
2,77,2500,-0.00330395
2,78,2500,-0.00352509
2,79,2500,-0.00373754
2,80,2500,-0.00393669
2,81,2500,-0.0041163
2,82,2500,-0.00426786
2,83,2500,-0.00437977
2,84,2500,-0.00443609
2,85,2500,-0.00441476
2,86,2500,-0.00428501
2,87,2500,-0.0040035
2,88,2500,-0.00350862
2,89,2500,-0.00271185
2,90,2500,-0.00148488
2,91,2500,0.000359715
2,92,2500,0.00309684
2,93,2500,0.0071288
2,94,2500,0.0130368
2,95,2500,0.0216276
2,96,2500,0.0339116
2,97,2500,0.0507443
2,98,2500,0.0705343
2,99,2500,0.0834721
2,100,2500,0
3,0,2500,0
3,1,2500,-0.119561
3,2,2500,-0.137898
3,3,2500,-0.127445
3,4,2500,-0.108216
3,5,2500,-0.0890694
3,6,2500,-0.0725071
3,7,2500,-0.0589528
3,8,2500,-0.0480948
3,9,2500,-0.0394493
3,10,2500,-0.0325526
3,11,2500,-0.0270173
3,12,2500,-0.0225376
3,13,2500,-0.0188783
3,14,2500,-0.0158603
3,15,2500,-0.0133476
3,16,2500,-0.0112367
3,17,2500,-0.00944821
3,18,2500,-0.00792118
3,19,2500,-0.00660821
3,20,2500,-0.00547223
3,21,2500,-0.00448402
3,22,2500,-0.00362033
3,23,2500,-0.00286252
3,24,2500,-0.00219552
3,25,2500,-0.00160704
3,26,2500,-0.00108699
3,27,2500,-0.000627012
3,28,2500,-0.000220118
3,29,2500,0.000139572
3,30,2500,0.000457051
3,31,2500,0.000736594
3,32,2500,0.000981887
3,33,2500,0.00119614
3,34,2500,0.00138217
3,35,2500,0.00154246
3,36,2500,0.00167924
3,37,2500,0.00179448
3,38,2500,0.00189001
3,39,2500,0.00196746
3,40,2500,0.00202833
3,41,2500,0.00207402
3,42,2500,0.00210583
3,43,2500,0.00212496
3,44,2500,0.00213257
3,45,2500,0.00212972
3,46,2500,0.00211745
3,47,2500,0.00209673
3,48,2500,0.00206853
3,49,2500,0.00203374
3,50,2500,0.00199328
3,51,2500,0.001948
3,52,2500,0.00189878
3,53,2500,0.00184647
3,54,2500,0.00179193
3,55,2500,0.00173602
3,56,2500,0.00167962
3,57,2500,0.00162362
3,58,2500,0.00156896
3,59,2500,0.0015166
3,60,2500,0.00146757
3,61,2500,0.00142296
3,62,2500,0.00138394
3,63,2500,0.00135178
3,64,2500,0.00132789
3,65,2500,0.00131382
3,66,2500,0.00131131
3,67,2500,0.00132232
3,68,2500,0.00134911
3,69,2500,0.00139425
3,70,2500,0.00146074
3,71,2500,0.00155207
3,72,2500,0.00167235
3,73,2500,0.00182646
3,74,2500,0.0020202
3,75,2500,0.00226055
3,76,2500,0.00255595
3,77,2500,0.00291664
3,78,2500,0.00335517
3,79,2500,0.00388703
3,80,2500,0.00453141
3,81,2500,0.00531234
3,82,2500,0.00626004
3,83,2500,0.0074129
3,84,2500,0.00882
3,85,2500,0.0105446
3,86,2500,0.0126688
3,87,2500,0.0153001
3,88,2500,0.0185795
3,89,2500,0.022693
3,90,2500,0.0278851
3,91,2500,0.0344747
3,92,2500,0.0428671
3,93,2500,0.0535514
3,94,2500,0.0670465
3,95,2500,0.0837137
3,96,2500,0.103197
3,97,2500,0.123104
3,98,2500,0.134656
3,99,2500,0.118034
3,100,2500,0
4,0,2500,0
4,1,2500,-0.133089
4,2,2500,-0.176658
4,3,2500,-0.181003
4,4,2500,-0.16741
4,5,2500,-0.148029
4,6,2500,-0.128152
4,7,2500,-0.10997
4,8,2500,-0.0941498
4,9,2500,-0.0807036
4,10,2500,-0.0693886
4,11,2500,-0.059892
4,12,2500,-0.051909
4,13,2500,-0.0451718
4,14,2500,-0.039456
4,15,2500,-0.0345781
4,16,2500,-0.0303897
4,17,2500,-0.0267717
4,18,2500,-0.0236279
4,19,2500,-0.0208814
4,20,2500,-0.0184695
4,21,2500,-0.0163416
4,22,2500,-0.0144563
4,23,2500,-0.0127794
4,24,2500,-0.0112829
4,25,2500,-0.0099434
4,26,2500,-0.00874121
4,27,2500,-0.00765985
4,28,2500,-0.00668532
4,29,2500,-0.00580565
4,30,2500,-0.00501058
4,31,2500,-0.00429121
4,32,2500,-0.00363981
4,33,2500,-0.00304959
4,34,2500,-0.00251458
4,35,2500,-0.00202947
4,36,2500,-0.00158952
4,37,2500,-0.00119046
4,38,2500,-0.000828434
4,39,2500,-0.000499932
4,40,2500,-0.000201729
4,41,2500,6.91437e-05
4,42,2500,0.000315443
4,43,2500,0.000539745
4,44,2500,0.00074447
4,45,2500,0.000931909
4,46,2500,0.00110424
4,47,2500,0.00126356
4,48,2500,0.00141189
4,49,2500,0.00155118
4,50,2500,0.00168336
4,51,2500,0.00181033
4,52,2500,0.00193397
4,53,2500,0.00205617
4,54,2500,0.00217883
4,55,2500,0.0023039
4,56,2500,0.00243337
4,57,2500,0.0025693
4,58,2500,0.00271385
4,59,2500,0.0028693
4,60,2500,0.00303804
4,61,2500,0.00322267
4,62,2500,0.00342598
4,63,2500,0.00365101
4,64,2500,0.00390108
4,65,2500,0.00417989
4,66,2500,0.00449154
4,67,2500,0.00484064
4,68,2500,0.00523237
4,69,2500,0.00567267
4,70,2500,0.00616829
4,71,2500,0.00672701
4,72,2500,0.00735785
4,73,2500,0.00807131
4,74,2500,0.0088797
4,75,2500,0.00979753
4,76,2500,0.010842
4,77,2500,0.0120335
4,78,2500,0.0133967
4,79,2500,0.0149612
4,80,2500,0.0167628
4,81,2500,0.0188454
4,82,2500,0.0212624
4,83,2500,0.0240801
4,84,2500,0.0273801
4,85,2500,0.0312641
4,86,2500,0.0358586
4,87,2500,0.041321
4,88,2500,0.0478467
4,89,2500,0.0556748
4,90,2500,0.0650924
4,91,2500,0.0764284
4,92,2500,0.0900254
4,93,2500,0.106162
4,94,2500,0.124863
4,95,2500,0.145494
4,96,2500,0.165871
4,97,2500,0.180644
4,98,2500,0.177406
4,99,2500,0.134423
4,100,2500,0
5,0,2500,0
5,1,2500,-0.130848
5,2,2500,-0.190924
5,3,2500,-0.21051
5,4,2500,-0.207183
5,5,2500,-0.193002
5,6,2500,-0.174613
5,7,2500,-0.155551
5,8,2500,-0.137508
5,9,2500,-0.121178
5,10,2500,-0.106742
5,11,2500,-0.0941329
5,12,2500,-0.0831789
5,13,2500,-0.0736764
5,14,2500,-0.0654249
5,15,2500,-0.0582419
5,16,2500,-0.0519681
5,17,2500,-0.0464677
5,18,2500,-0.041626
5,19,2500,-0.0373473
5,20,2500,-0.0335511
5,21,2500,-0.0301706
5,22,2500,-0.0271496
5,23,2500,-0.024441
5,24,2500,-0.0220052
5,25,2500,-0.0198086
5,26,2500,-0.0178226
5,27,2500,-0.0160228
5,28,2500,-0.0143885
5,29,2500,-0.0129014
5,30,2500,-0.0115459
5,31,2500,-0.0103083
5,32,2500,-0.00917677
5,33,2500,-0.00814057
5,34,2500,-0.00719037
5,35,2500,-0.00631779
5,36,2500,-0.00551532
5,37,2500,-0.00477618
5,38,2500,-0.00409422
5,39,2500,-0.00346381
5,40,2500,-0.00287979
5,41,2500,-0.0023374
5,42,2500,-0.0018322
5,43,2500,-0.00136003
5,44,2500,-0.000916999
5,45,2500,-0.00049939
5,46,2500,-0.000103677
5,47,2500,0.000273536
5,48,2500,0.000635531
5,49,2500,0.000985509
5,50,2500,0.00132661
5,51,2500,0.00166194
5,52,2500,0.0019946
5,53,2500,0.0023277
5,54,2500,0.0026644
5,55,2500,0.00300791
5,56,2500,0.00336155
5,57,2500,0.00372877
5,58,2500,0.00411316
5,59,2500,0.00451852
5,60,2500,0.0049489
5,61,2500,0.00540861
5,62,2500,0.00590233
5,63,2500,0.00643512
5,64,2500,0.00701254
5,65,2500,0.0076407
5,66,2500,0.00832638
5,67,2500,0.00907715
5,68,2500,0.00990151
5,69,2500,0.010809
5,70,2500,0.0118106
5,71,2500,0.0129187
5,72,2500,0.0141476
5,73,2500,0.0155136
5,74,2500,0.0170359
5,75,2500,0.0187366
5,76,2500,0.0206418
5,77,2500,0.022782
5,78,2500,0.0251932
5,79,2500,0.0279181
5,80,2500,0.0310075
5,81,2500,0.0345222
5,82,2500,0.0385347
5,83,2500,0.0431321
5,84,2500,0.0484188
5,85,2500,0.0545197
5,86,2500,0.0615833
5,87,2500,0.0697845
5,88,2500,0.0793245
5,89,2500,0.0904267
5,90,2500,0.103322
5,91,2500,0.118211
5,92,2500,0.135194
5,93,2500,0.154118
5,94,2500,0.174299
5,95,2500,0.194018
5,96,2500,0.209627
5,97,2500,0.214228
5,98,2500,0.195247
5,99,2500,0.134373
5,100,2500,0
6,0,2500,0
6,1,2500,-0.124133
6,2,2500,-0.19335
6,3,2500,-0.225025
6,4,2500,-0.232268
6,5,2500,-0.225453
6,6,2500,-0.211327
6,7,2500,-0.194079
6,8,2500,-0.176122
6,9,2500,-0.158757
6,10,2500,-0.142616
6,11,2500,-0.127945
6,12,2500,-0.114781
6,13,2500,-0.103049
6,14,2500,-0.0926279
6,15,2500,-0.0833803
6,16,2500,-0.0751692
6,17,2500,-0.0678671
6,18,2500,-0.0613594
6,19,2500,-0.0555454
6,20,2500,-0.0503372
6,21,2500,-0.0456592
6,22,2500,-0.0414461
6,23,2500,-0.0376418
6,24,2500,-0.034198
6,25,2500,-0.0310732
6,26,2500,-0.0282314
6,27,2500,-0.0256416
6,28,2500,-0.0232766
6,29,2500,-0.0211129
6,30,2500,-0.0191298
6,31,2500,-0.0173089
6,32,2500,-0.0156343
6,33,2500,-0.0140915
6,34,2500,-0.0126678
6,35,2500,-0.0113517
6,36,2500,-0.0101328
6,37,2500,-0.00900177
6,38,2500,-0.00794995
6,39,2500,-0.00696955
6,40,2500,-0.0060533
6,41,2500,-0.00519451
6,42,2500,-0.0043869
6,43,2500,-0.00362461
6,44,2500,-0.0029021
6,45,2500,-0.00221409
6,46,2500,-0.00155555
6,47,2500,-0.000921636
6,48,2500,-0.000307636
6,49,2500,0.000291036
6,50,2500,0.000878898
6,51,2500,0.00146043
6,52,2500,0.00204009
6,53,2500,0.0026224
6,54,2500,0.0032119
6,55,2500,0.00381328
6,56,2500,0.00443135
6,57,2500,0.00507108
6,58,2500,0.00573772
6,59,2500,0.00643677
6,60,2500,0.00717409
6,61,2500,0.00795592
6,62,2500,0.00878901
6,63,2500,0.00968066
6,64,2500,0.0106388
6,65,2500,0.0116723
6,66,2500,0.0127907
6,67,2500,0.0140047
6,68,2500,0.0153263
6,69,2500,0.0167689
6,70,2500,0.0183477
6,71,2500,0.0200797
6,72,2500,0.0219845
6,73,2500,0.0240844
6,74,2500,0.0264048
6,75,2500,0.0289752
6,76,2500,0.0318296
6,77,2500,0.0350074
6,78,2500,0.0385545
6,79,2500,0.042524
6,80,2500,0.0469784
6,81,2500,0.0519901
6,82,2500,0.057644
6,83,2500,0.0640382
6,84,2500,0.0712864
6,85,2500,0.0795182
6,86,2500,0.0888789
6,87,2500,0.0995265
6,88,2500,0.111623
6,89,2500,0.125316
6,90,2500,0.140708
6,91,2500,0.157788
6,92,2500,0.176329
6,93,2500,0.195697
6,94,2500,0.214548
6,95,2500,0.230356
6,96,2500,0.238702
6,97,2500,0.232439
6,98,2500,0.20057
6,99,2500,0.129231
6,100,2500,0
7,0,2500,0
7,1,2500,-0.115859
7,2,2500,-0.189123
7,3,2500,-0.229378
7,4,2500,-0.245846
7,5,2500,-0.246766
7,6,2500,-0.238246
7,7,2500,-0.224543
7,8,2500,-0.208427
7,9,2500,-0.191621
7,10,2500,-0.17513
7,11,2500,-0.159505
7,12,2500,-0.145008
7,13,2500,-0.131729
7,14,2500,-0.119659
7,15,2500,-0.108738
7,16,2500,-0.098877
7,17,2500,-0.0899805
7,18,2500,-0.0819518
7,19,2500,-0.0746997
7,20,2500,-0.0681399
7,21,2500,-0.0621968
7,22,2500,-0.0568028
7,23,2500,-0.051898
7,24,2500,-0.0474295
7,25,2500,-0.0433511
7,26,2500,-0.0396217
7,27,2500,-0.0362054
7,28,2500,-0.0330704
7,29,2500,-0.0301886
7,30,2500,-0.0275351
7,31,2500,-0.0250877
7,32,2500,-0.0228268
7,33,2500,-0.0207344
7,34,2500,-0.0187947
7,35,2500,-0.0169933
7,36,2500,-0.015317
7,37,2500,-0.0137539
7,38,2500,-0.0122931
7,39,2500,-0.0109244
7,40,2500,-0.00963862
7,41,2500,-0.00842693
7,42,2500,-0.00728124
7,43,2500,-0.00619387
7,44,2500,-0.00515759
7,45,2500,-0.00416546
7,46,2500,-0.00321087
7,47,2500,-0.00228741
7,48,2500,-0.00138885
7,49,2500,-0.000509114
7,50,2500,0.000357798
7,51,2500,0.00121785
7,52,2500,0.00207698
7,53,2500,0.00294121
7,54,2500,0.00381663
7,55,2500,0.00470946
7,56,2500,0.00562613
7,57,2500,0.0065733
7,58,2500,0.00755795
7,59,2500,0.0085874
7,60,2500,0.00966944
7,61,2500,0.0108124
7,62,2500,0.0120251
7,63,2500,0.0133172
7,64,2500,0.0146992
7,65,2500,0.0161825
7,66,2500,0.0177797
7,67,2500,0.0195046
7,68,2500,0.0213727
7,69,2500,0.023401
7,70,2500,0.0256087
7,71,2500,0.0280174
7,72,2500,0.0306514
7,73,2500,0.0335381
7,74,2500,0.0367088
7,75,2500,0.0401989
7,76,2500,0.044049
7,77,2500,0.0483051
7,78,2500,0.05302
7,79,2500,0.0582541
7,80,2500,0.0640758
7,81,2500,0.0705634
7,82,2500,0.0778047
7,83,2500,0.0858982
7,84,2500,0.0949518
7,85,2500,0.105081
7,86,2500,0.116404
7,87,2500,0.129032
7,88,2500,0.143051
7,89,2500,0.158494
7,90,2500,0.175293
7,91,2500,0.193195
7,92,2500,0.211643
7,93,2500,0.229583
7,94,2500,0.245191
7,95,2500,0.2555
7,96,2500,0.255934
7,97,2500,0.239918
7,98,2500,0.198589
7,99,2500,0.122071
7,100,2500,0
8,0,2500,0
8,1,2500,-0.107616
8,2,2500,-0.181775
8,3,2500,-0.227604
8,4,2500,-0.251383
8,5,2500,-0.259365
8,6,2500,-0.256718
8,7,2500,-0.247395
8,8,2500,-0.234223
8,9,2500,-0.219135
8,10,2500,-0.203397
8,11,2500,-0.187799
8,12,2500,-0.17281
8,13,2500,-0.158683
8,14,2500,-0.145535
8,15,2500,-0.133397
8,16,2500,-0.12225
8,17,2500,-0.112042
8,18,2500,-0.102712
8,19,2500,-0.0941881
8,20,2500,-0.0864011
8,21,2500,-0.0792836
8,22,2500,-0.0727725
8,23,2500,-0.0668096
8,24,2500,-0.0613421
8,25,2500,-0.0563222
8,26,2500,-0.051707
8,27,2500,-0.0474579
8,28,2500,-0.0435401
8,29,2500,-0.0399226
8,30,2500,-0.0365775
8,31,2500,-0.0334796
8,32,2500,-0.0306061
8,33,2500,-0.0279365
8,34,2500,-0.0254522
8,35,2500,-0.0231361
8,36,2500,-0.0209728
